Sampler,Repetition,Classifier,Accuracy
Hilbert curve,0,knn,0.58472
Hilbert curve,0,dtree,0.84097
Hilbert curve,0,rfc,0.94653
Hilbert curve,1,knn,0.68750
Hilbert curve,1,dtree,0.93056
Hilbert curve,1,rfc,0.97222
Hilbert curve,2,knn,0.74375
Hilbert curve,2,dtree,0.97639
Hilbert curve,2,rfc,0.98264
Hilbert curve,3,knn,0.78056
Hilbert curve,3,dtree,0.97847
Hilbert curve,3,rfc,0.98889
Hilbert curve,4,knn,0.71111
Hilbert curve,4,dtree,0.94861
Hilbert curve,4,rfc,0.97847
Latin Hypercube,0,knn,0.60347
Latin Hypercube,0,dtree,0.85208
Latin Hypercube,0,rfc,0.93542
Latin Hypercube,1,knn,0.71944
Latin Hypercube,1,dtree,0.93819
Latin Hypercube,1,rfc,0.97708
Latin Hypercube,2,knn,0.75278
Latin Hypercube,2,dtree,0.96667
Latin Hypercube,2,rfc,0.98958
Latin Hypercube,3,knn,0.80139
Latin Hypercube,3,dtree,0.96736
Latin Hypercube,3,rfc,0.98750
Latin Hypercube,4,knn,0.73819
Latin Hypercube,4,dtree,0.96944
Latin Hypercube,4,rfc,0.99236
Random walk,0,knn,0.52569
Random walk,0,dtree,0.76389
Random walk,0,rfc,0.86736
Random walk,1,knn,0.62778
Random walk,1,dtree,0.90000
Random walk,1,rfc,0.94097
Random walk,2,knn,0.66389
Random walk,2,dtree,0.93056
Random walk,2,rfc,0.94931
Random walk,3,knn,0.68819
Random walk,3,dtree,0.93333
Random walk,3,rfc,0.96389
Random walk,4,knn,0.69284
Random walk,4,dtree,0.91105
Random walk,4,rfc,0.95830
