sampler,dimension,sample_n,feature,value
Latin Hypercube (hc),2,100,ic.eps.max,0.9270888152228782
Latin Hypercube (hc),2,100,ic.eps_ration,1.1784457625737204
Latin Hypercube (hc),2,100,ic.eps_s,1.263530490233353
Latin Hypercube (hc),2,100,ic.h_max,0.42029350000699495
Latin Hypercube (hc),2,100,ic.m0,0.3602051915562008
Latin Hypercube (hc),2,1000,ic.eps.max,1.28411732484691
Latin Hypercube (hc),2,1000,ic.eps_ration,1.253524739219436
Latin Hypercube (hc),2,1000,ic.eps_s,1.3584842187148456
Latin Hypercube (hc),2,1000,ic.h_max,0.9404591271318903
Latin Hypercube (hc),2,1000,ic.m0,0.7796771845641552
Latin Hypercube (hc),5,100,ic.eps.max,1.0749108259271203
Latin Hypercube (hc),5,100,ic.eps_ration,1.325118646571434
Latin Hypercube (hc),5,100,ic.eps_s,1.3889002413807074
Latin Hypercube (hc),5,100,ic.h_max,0.3283878902536963
Latin Hypercube (hc),5,100,ic.m0,0.1054547058277353
Latin Hypercube (hc),5,1000,ic.eps.max,1.2517878686127295
Latin Hypercube (hc),5,1000,ic.eps_ration,1.3633857014474968
Latin Hypercube (hc),5,1000,ic.eps_s,1.5352158044057185
Latin Hypercube (hc),5,1000,ic.h_max,0.7228854557764646
Latin Hypercube (hc),5,1000,ic.m0,0.40368716925538406
Latin Hypercube (nn),2,100,ic.eps.max,0.8803486233438995
Latin Hypercube (nn),2,100,ic.eps_ration,1.0846505171490168
Latin Hypercube (nn),2,100,ic.eps_s,1.2634873756226774
Latin Hypercube (nn),2,100,ic.h_max,0.5195641903745187
Latin Hypercube (nn),2,100,ic.m0,0.4888885501564353
Latin Hypercube (nn),2,1000,ic.eps.max,1.2204473887136633
Latin Hypercube (nn),2,1000,ic.eps_ration,1.2455338259293192
Latin Hypercube (nn),2,1000,ic.eps_s,1.3412059696826635
Latin Hypercube (nn),2,1000,ic.h_max,0.900821688053147
Latin Hypercube (nn),2,1000,ic.m0,0.8654428925695992
Latin Hypercube (nn),5,100,ic.eps.max,1.0361277152494888
Latin Hypercube (nn),5,100,ic.eps_ration,1.159362077714979
Latin Hypercube (nn),5,100,ic.eps_s,1.4384058646034144
Latin Hypercube (nn),5,100,ic.h_max,0.38211839094658817
Latin Hypercube (nn),5,100,ic.m0,0.3065166930561274
Latin Hypercube (nn),5,1000,ic.eps.max,1.1581813159927061
Latin Hypercube (nn),5,1000,ic.eps_ration,1.3544894188696106
Latin Hypercube (nn),5,1000,ic.eps_s,1.5727457079500617
Latin Hypercube (nn),5,1000,ic.h_max,0.7904517905397106
Latin Hypercube (nn),5,1000,ic.m0,0.5596636810762146
Latin Hypercube (rnd),2,100,ic.eps.max,1.085639996776293
Latin Hypercube (rnd),2,100,ic.eps_ration,1.3008033895416464
Latin Hypercube (rnd),2,100,ic.eps_s,1.3156000650863207
Latin Hypercube (rnd),2,100,ic.h_max,0.2839469808202679
Latin Hypercube (rnd),2,100,ic.m0,0.0
Latin Hypercube (rnd),2,1000,ic.eps.max,1.2814029523865074
Latin Hypercube (rnd),2,1000,ic.eps_ration,1.4988016032209075
Latin Hypercube (rnd),2,1000,ic.eps_s,1.5015365717470728
Latin Hypercube (rnd),2,1000,ic.h_max,0.6777435205061277
Latin Hypercube (rnd),2,1000,ic.m0,0.033639370524329415
Latin Hypercube (rnd),5,100,ic.eps.max,1.0689363218030175
Latin Hypercube (rnd),5,100,ic.eps_ration,1.2243409791196431
Latin Hypercube (rnd),5,100,ic.eps_s,1.4018268995414604
Latin Hypercube (rnd),5,100,ic.h_max,0.21492118114181213
Latin Hypercube (rnd),5,100,ic.m0,0.0
Latin Hypercube (rnd),5,1000,ic.eps.max,1.2988120477270555
Latin Hypercube (rnd),5,1000,ic.eps_ration,1.3885039538319905
Latin Hypercube (rnd),5,1000,ic.eps_s,1.5865513322262585
Latin Hypercube (rnd),5,1000,ic.h_max,0.6224457131566075
Latin Hypercube (rnd),5,1000,ic.m0,0.01926471275799635
